response_id,last_use,usage_experience,skill_level,lenof | _Lenof,lengthof | _Lengthof,countof | _Countof,nelemsof | _Nelemsof,nelementsof | _Nelementsof,extentof | _Extentof,"`_Keyword` and &lt;stdkeyword.h&gt;",Just `_Keyword`,Lowercase `keyword`,_Lengthof keyword; no macro in header,_Lengthof keyword; lengthof macro,lengthof keyword; no macro in header,_Extentof keyword; no macro in header,_Extentof keyword; extentof macro,extentof keyword; no macro in header,_Lenof keyword; no macro in header,_Lenof keyword; lenof macro,lenof keyword; no macro in header,_Countof keyword; no macro in header,_Countof keyword; countof macro,countof keyword; no macro in header,_Nelemsof keyword; no macro in header,_Nelemsof keyword; nelemsof macro,nelemsof keyword; no macro in header,nelementsof keyword; no macro in header,comment
254,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,3,1,1,-1,-1,1,1,1,3,1,3,3,-1,-1,-1,3,3,1,-1,-1,-1,-1,-1,-1,-1,
255,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,-1,5,1,-3,-5,5,3,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
256,Recently (0 to 2 years ago),10 to 20 years,Academic / Research Software Development,1,3,5,1,3,3,5,1,5,-3,3,3,-3,3,3,-3,3,3,-3,5,5,-3,1,1,1,I personally think that some form of countof makes the most sense but would be happy with any of these names as long as it gets added.  Thank you for your excellent work on improving C.
257,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,-3,-1,5,-5,-5,-1,3,3,-1,-1,-1,-1,-1,-1,-1,-3,-3,-3,5,5,3,-3,-3,-3,-3,"Any and all emphasis that there is a major difference between ""Size"" and this new ""Count"" is of utmost importance."
258,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-3,3,5,-3,-3,-3,-1,1,5,1,-3,3,-3,-3,-1,-3,-3,-3,1,-3,5,-3,-3,-3,-3,-
259,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,3,5,1,-1,-1,-5,5,-3,3,-3,5,5,-5,1,3,-5,1,3,-5,1,3,-5,1,3,3,
260,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,-3,1,5,-3,-3,1,3,-1,5,-1,-1,-1,-1,-1,-1,-3,-3,-3,1,3,5,-3,-3,-3,-3,"`countof` has seen pervasive use in community codebases; standardising on a single implementation that mirrors `sizeof` makes the absolute most sense, and any breaking changes could be _easily_ rectified."
261,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,3,5,-3,-5,-5,-3,-3,5,1,5,-1,-1,-5,-5,-5,1,-1,-1,1,-5,-5,-5,-5,0,-5,"keyword should have an intuitive, based on trends of other languages, easily remembered name and when it comes to finding the lenth of the array, it should be similar to ""length"", ""len"" and not count(intuitive but not very accurate). Plus names like nelements, extend, etc are simply not generic and are non intuitive."
262,Recently (0 to 2 years ago),30+ years,Professional / Industrial Software Development,5,-5,-3,-5,-5,-5,0,0,5,-5,-5,-5,-5,-5,-5,-5,-5,5,-5,-5,-5,-5,-5,-5,-5,Thanks for approving the new lenof() keyword.
263,Recently (0 to 2 years ago),10 to 20 years,Academic / Research Software Development,-3,1,5,-5,-3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
264,2 to 5 years ago,2 to 5 years,Professional / Industrial Software Development,-5,5,-3,-5,-5,-3,-3,-3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"The whole underscore capital name macro in header song and dance is ridiculous. If you want to use the new C standard, you're going to have to find and replace on a file. I'm sorry; it's not worth making everybody else take the conceptual overhead to prevent you from running control F once. It's also not like the old versions of c have stopped working or that programs compiled before the new standard will stop working! This text box is not tall enough and should be a text area. lengthof is just the right name. It's like ""sizeof"" but for the appropriate concept. ""extentof"" is ok, and I would also like to have a ""rankof"" either way, But in general I'm annoyed with people in programming naming things wrong and I would just like them to pick actually the correct name which just describes the thing that it is this time! Honorable mention to count of because it would allow me to type the count of Monte Cristo in source code which would be funny. But really when I make a variable called count it is an integer that tracks how many of something there is, without reference to an array, so this would not be very satisfying to me at least."
265,Recently (0 to 2 years ago),Recently (0 to 2 years),Just Reading / Just Learning,-3,-3,5,-1,-3,-3,-1,-3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,
266,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,-3,5,3,-1,-1,1,5,3,-1,5,5,5,5,5,5,-1,-1,-1,1,3,3,-1,1,-1,-1,
267,Recently (0 to 2 years ago),Recently (0 to 2 years),Hobbyist / Personal Projects,-1,5,3,-5,-5,3,3,-5,3,-5,3,5,-5,1,1,-5,-1,1,-5,1,3,-5,-5,-5,-5,"I'd love to have `lengthof` without header, but I understand that it is not something that could actually happen"
268,2 to 5 years ago,10 to 20 years,Professional / Industrial Software Development,-3,1,1,-1,-1,1,1,-1,1,-1,1,1,-1,1,1,-3,-3,-3,-1,1,1,-1,-1,-1,-1,"If we're throwing wild ideas out there. Since a keyword is implemented in the compiler, a pragma could be used to enable it and coupled with deprecation warnings if not enabled this might be a way to gradually introduce a new keyword even if it might take an extra standards revision. Please feel free to ask if you want me to elaborate my crazy ideas. :)"
269,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,-1,-1,3,3,1,1,3,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"'of' seems unnecessary.  For any of these options, I'd strongly prefer a form without 'of', for example '_Nelems' or 'nelems' or even simply 'elems' in this specific case.  I don't think 'of' fits any other naming pattern and is obvious due to the parenthesis anyway.  Len / length seem somewhat confusing as it is not clear whether it's a bytes length or elements length in C."
270,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,-3,-5,1,5,3,-1,3,1,5,-5,-3,-3,-1,-1,-1,-3,-3,-3,1,1,1,3,3,5,3,"I would prefer it in an existing header over a new header or all the cool stuff in a new stdc2y.h header.  It feels like the ""small handful of macros"" headers are getting out of control."
271,Recently (0 to 2 years ago),10 to 20 years,Hobbyist / Personal Projects,-1,1,5,-5,-5,-3,3,-1,5,1,3,3,-3,-3,-3,-1,-1,-1,3,5,5,-5,-5,-5,-5,
272,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-5,-5,5,-3,-1,0,-1,-3,1,-5,-5,-5,-1,-1,-1,-5,-5,-5,-1,-1,5,-1,-1,1,-1,"Anything with len or length is bad, as the term has a different meaning for strings in the standard library already."
273,Recently (0 to 2 years ago),20 to 30 years,Hobbyist / Personal Projects,5,1,3,-1,-3,-5,-1,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A macro definition would be much less objectionable if it could be brought in with an #include like &lt;stdc2y.h&gt; that includes all of the new ""keywords"" of that and previous standards.  Basically, &lt;stdnoreturn.h&gt; was not terribly useful, but a &lt;stdc11.h&gt; (which would #include &lt;stdnoreturn.h&gt;, &lt;stdalign.h&gt;, &lt;stdc99.h&gt; etc) would have been."
274,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,-3,5,5,-5,-5,-5,3,-5,3,-5,3,5,-5,-5,-5,-5,-1,-5,-5,3,5,-5,-5,-5,-5,no.
275,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-3,1,1,-3,-1,3,-1,-5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I prefer the term ""extent"" over both ""count"" and ""length"" because the latter terms to me imply that they are talking about the initialized part of the array only. A resizable array (std::vector in C++) has two measurements: the number of elements that are currently used (size in C++), and the number of elements that was allocated (capacity in C++)."
276,Recently (0 to 2 years ago),5 to 10 years,Software Mentor; Professor / Teacher; Trainer,1,-1,-1,-5,-3,-3,-3,-3,5,-1,-1,1,-3,-3,-3,-3,-3,-1,-3,-3,-1,-5,-5,-3,-3,"it should be ""length"", plain and simple. To ease the transition to/from Java."
277,Recently (0 to 2 years ago),5 to 10 years,Hobbyist / Personal Projects,1,3,5,-1,-3,-3,-1,1,5,-3,-3,-1,-3,-3,1,-3,-3,1,-3,-3,5,-3,-3,-1,-1,
278,Recently (0 to 2 years ago),2 to 5 years,Software Mentor; Professor / Teacher; Trainer,-1,5,1,-3,-5,3,5,-5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
279,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,3,5,5,-1,-3,-1,-1,-5,5,-5,-3,5,-5,-3,-1,-5,-3,-1,-3,1,5,-5,-3,1,-1,
280,Recently (0 to 2 years ago),20 to 30 years,Software Mentor; Professor / Teacher; Trainer,-5,5,3,-5,3,1,-3,-3,5,0,0,5,0,0,0,0,0,0,3,0,3,0,0,0,3,
281,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,1,1,5,1,1,-1,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
282,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,5,1,3,-1,-3,1,3,-3,-1,-3,1,1,-3,-1,-1,-3,5,-1,-3,3,-1,-3,1,-1,-1,
283,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,-1,5,1,-3,1,-5,5,0,-5,0,5,1,-3,-3,-3,-3,-3,-3,3,3,-3,0,0,0,0,
284,Recently (0 to 2 years ago),2 to 5 years,Professional / Industrial Software Development,5,3,1,1,-3,-3,3,-1,1,-1,5,3,-3,-1,-3,-1,5,5,-1,1,-1,-3,-1,-3,-3,
285,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-5,3,5,-5,-5,0,5,-5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I am not particularly fond of extentof but the idea of specifying the dimension when querying the number of elements is definitely useful. Could this not be done with lengthof/countof? Could dimension not be added to lengthof/countof as an optional argument? It would not be the first operator in C to have more than one arity.
286,Recently (0 to 2 years ago),2 to 5 years,Professional / Industrial Software Development,1,1,5,-3,-3,-3,-3,-1,5,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,5,-1,-1,-1,-1,
287,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,3,-5,1,-3,-5,5,1,1,3,-3,-3,-3,1,5,5,-1,3,3,-1,1,3,-5,-5,-5,-5,
288,2 to 5 years ago,2 to 5 years,Professional / Industrial Software Development,3,3,-1,-3,-3,-3,-1,-5,3,-5,-3,3,-5,-5,-3,-3,-3,5,-3,-3,-1,-3,-3,-1,-1,
289,Recently (0 to 2 years ago),2 to 5 years,Professional / Industrial Software Development,5,1,1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
290,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-3,1,5,-1,-5,1,3,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
291,Recently (0 to 2 years ago),Recently (0 to 2 years),Just Reading / Just Learning,5,1,1,-1,-1,-1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
292,Recently (0 to 2 years ago),30+ years,Professional / Industrial Software Development,-3,-1,1,3,5,-5,-3,-5,5,-5,-3,-1,-5,-5,-5,-5,-5,-3,-3,-3,-1,-1,1,3,5,"When I had a ""misc.h"" for small fixes I felt should been standard, in the early 90s, I called it ""elementsin"". Still my preferred spelling."
293,Recently (0 to 2 years ago),Recently (0 to 2 years),Hobbyist / Personal Projects,5,5,5,-1,-1,3,5,-3,5,-3,1,5,-3,3,3,-3,5,5,-3,3,5,-3,-1,1,1,"As a novice and amateur C Programmer, it feels like operators that you're going to be using often in code (outside of macro definitions) should either be an underscore keyword with a pretty name macro in a header, or just have a pretty keyword with no macro needed. _Generic is fine for me since it is mostly used in macros and thus you'll rarely see it outside of macro definitions. If I had to write _Lenof every time I wanted to get the size of an array-like thing outside of macros without a pretty keyword macro, I think I'd lose it (Even though I'd probably just make one anyways. But I'd still be miffed about it). I'd feel fine with the underscore keyword with pretty macro just as a compromise for code bases that are already using it.  I'm split between lenof, countof, and lengthof. I could also live with extentof. I just have a visceral dislike for nelemsof and nelementsof; I legitimately cannot explain it beyond a primal dislike of those options."
294,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,3,5,1,-3,-5,1,-3,1,5,3,-3,5,1,-3,3,-1,-5,1,-3,-5,-1,-5,-5,-5,-5,
295,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,3,5,1,-1,-3,-5,3,1,1,3,3,3,-5,-5,-5,-3,-3,-3,-1,-1,-1,-3,-1,-3,-5,thanks for making the stdlib much better :)
296,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,1,5,-1,-5,-5,-5,1,-3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
297,Recently (0 to 2 years ago),10 to 20 years,Academic / Research Software Development,-3,3,1,-5,-3,-3,-3,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
298,Recently (0 to 2 years ago),Recently (0 to 2 years),Just Reading / Just Learning,-3,3,5,-3,1,3,1,-5,5,-5,1,3,-5,1,3,-5,-5,-5,-5,3,5,-5,-3,1,3,_Keyword is not very ergonomic for how common this operator is. And I guess most users would expect a similar spelling to sizeof et al as possible. Thanks for the survey :)
299,Recently (0 to 2 years ago),5 to 10 years,Academic / Research Software Development,1,3,3,-1,-1,-1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
300,Recently (0 to 2 years ago),30+ years,Software Mentor; Professor / Teacher; Trainer,3,5,-1,-3,-3,-5,3,1,5,3,3,5,-3,-3,-3,-1,-1,-3,-1,-1,-3,-3,-3,-5,-5,"The language (I didn't say the committee) is suffering BADLY from paralysis. Fiascos like taking 30 years to add true and false can't continue to happen. If someone has a symbol named 'false' or 'lengthof' and has specified --gimme-C26 then they can take on the minute-long global search and replace in cscope, CLion, or (very carefully) sed.  Identifiers clash all the time in new development environments. They SHOULDN'T, but because there's not a contact between the set of symbols and behavoiurs requested and those available - this is just the kind of thing that developers of ACTIVELY MAINTAINED code expect.  The failure case is obvious and trivial to fix. Pick a good identifier (lengthof is like sizeof), don't hide it behind the presence of an include &lt;stdthing.h&gt; to activate it, and rip the bandaid off. Old code can stay on old compilers. When the old compilers don't run on computers that can be bought, borrowed, emulated, or virtualized, and a change MUST be made, then someone needs to exit denial and actually pay/bribe a programmer to actively maintain the stupid code.  Love your writing. Stay awesome!"
301,Recently (0 to 2 years ago),30+ years,Professional / Industrial Software Development,-1,1,5,-5,-5,-5,-5,-3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
302,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,-5,1,-1,-1,3,5,5,-5,3,-5,1,1,-5,5,3,-5,-5,-5,-5,-1,-1,-5,-1,-1,3,
303,2 to 5 years ago,Recently (0 to 2 years),Hobbyist / Personal Projects,-1,1,3,-5,-3,-3,1,-3,3,-3,1,1,-5,-3,-3,-3,-1,-1,-1,3,5,-3,-3,-3,-3,"mostly a C++ user, only used C a few times to make small changes to existing programs"
304,2 to 5 years ago,2 to 5 years,Professional / Industrial Software Development,-1,5,3,-1,-3,-1,-3,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
305,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,0,5,0,0,0,0,-5,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
306,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,1,3,-1,-3,-3,-5,-3,-5,5,-5,-3,5,-5,-3,3,-5,-3,3,-5,-3,3,-5,-3,3,-1,
307,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,5,5,1,-5,-5,3,3,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
308,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,-1,5,5,-5,-3,1,3,5,1,-1,-1,-1,1,1,1,-3,-3,-3,5,3,5,-5,-5,-3,-3,"I dislike nelem[ents]of because 3 words (counting n) feels like too many. I don't love the abbreviation of len (3 letters saved is not worth the reduced readability). Of the remaining 3, I like them in order: countof, lengthof, extentof. The lower and _Upper forms do not make a difference in my mind (lower matches sizeof() (which this closely relates to), _Upper matches pretty much everything else)."
309,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,5,3,1,-1,-1,-1,1,3,5,3,3,5,1,1,3,-1,-1,1,-3,-3,-1,-3,-3,-1,-1,
310,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-1,5,1,-1,-3,-3,3,-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
311,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,-3,1,5,-5,-5,-1,-5,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
312,Recently (0 to 2 years ago),Recently (0 to 2 years),Academic / Research Software Development,3,1,3,5,1,1,1,-3,5,-3,1,3,-3,1,5,-3,1,1,-3,1,5,-3,1,5,3,
313,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,1,3,5,-1,-3,-1,3,-1,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,
314,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,1,3,3,-1,-1,-1,3,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
315,Recently (0 to 2 years ago),2 to 5 years,Professional / Industrial Software Development,-5,5,5,-5,-5,-5,-5,-5,5,-5,-5,5,-5,-5,-5,-5,-5,-5,-5,-5,5,-5,-5,-5,-5,
316,Recently (0 to 2 years ago),Recently (0 to 2 years),Hobbyist / Personal Projects,5,1,3,-1,-3,-3,3,-5,-1,-5,1,1,-5,-1,-3,-5,5,1,-5,3,1,-5,-1,-1,-3,
317,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-1,3,5,-1,-1,3,3,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
318,Recently (0 to 2 years ago),20 to 30 years,Software Mentor; Professor / Teacher; Trainer,0,3,0,0,0,0,-1,3,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
319,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,1,-1,3,-3,-3,-5,-5,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
320,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,-1,1,5,-5,-5,-5,1,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
321,Recently (0 to 2 years ago),Recently (0 to 2 years),Just Reading / Just Learning,-1,3,3,-1,-3,5,0,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
322,Recently (0 to 2 years ago),2 to 5 years,Professional / Industrial Software Development,1,5,3,-5,-5,-1,-1,-3,3,1,3,5,-5,-5,-3,-3,-1,-1,1,3,5,-5,-5,-5,-5,"Would like to see c moving away from truncations.  There is strong culture of variable shortening for no real reason, we have autocomplete now."
323,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,-1,3,5,-1,3,-5,1,5,-3,0,5,3,-5,-5,-5,-1,-1,-1,5,1,1,1,-1,1,3,
324,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,1,3,3,1,3,-1,1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"This is a difficult question -- on the one hand, it's important to not ""pull a python"". But it'd also be nice to select something that's very natural, and that's going to stomp on code that picked a very natural way to compute this already. Good luck and thanks."
325,2 to 5 years ago,2 to 5 years,Professional / Industrial Software Development,5,3,1,-3,-5,-5,-3,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
326,Recently (0 to 2 years ago),30+ years,Professional / Industrial Software Development,5,3,-5,1,-1,-3,3,-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"upb and lwb (upperbound and lowerbound) would be classical options (but upb is the highest index, so length - 1). Countof is just bad, countof(something) must always be 1, if you mention one something."
327,5 to 10 years ago,5 to 10 years,Academic / Research Software Development,1,1,3,-1,-1,3,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
328,2 to 5 years ago,2 to 5 years,Hobbyist / Personal Projects,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
329,5 to 10 years ago,20 to 30 years,Professional / Industrial Software Development,-3,3,5,-5,-3,-1,1,-1,5,-1,1,3,-3,-1,-1,-3,-3,-3,1,3,5,-5,-5,-5,-3,Better to break things and require rebuilds (if someone updates their standard library) to get a nice keyword for the future of C long term.
330,2 to 5 years ago,2 to 5 years,Hobbyist / Personal Projects,-5,5,1,-5,-3,-3,-3,-3,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
331,Recently (0 to 2 years ago),2 to 5 years,Academic / Research Software Development,5,3,1,-5,-3,-5,-1,1,5,3,1,3,-5,-5,-5,3,3,5,1,1,3,0,-1,-1,-1,
332,10 to 20 years ago,20 to 30 years,Professional / Industrial Software Development,1,5,5,1,-1,-1,-1,3,5,1,3,5,-1,-1,-1,1,1,1,1,3,5,-1,-1,-1,-1,
333,Recently (0 to 2 years ago),Recently (0 to 2 years),Hobbyist / Personal Projects,5,3,3,-1,-3,-5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
334,Recently (0 to 2 years ago),5 to 10 years,Hobbyist / Personal Projects,-1,3,-1,-1,1,1,3,1,-5,0,3,-5,0,0,-5,0,0,-5,0,0,-5,0,0,-5,-5,
335,Recently (0 to 2 years ago),20 to 30 years,Academic / Research Software Development,-3,1,5,-3,-3,1,-1,-1,5,-1,-1,1,-1,1,3,-3,-3,-3,1,3,5,-3,-3,1,0,
336,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,5,3,-3,-3,-3,-3,5,0,5,-3,-3,3,-3,-3,-3,-3,-3,5,-3,-3,-3,-3,-3,-3,-3,
337,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-5,-1,5,-5,-3,-1,3,-3,3,-5,-1,-1,-5,-1,-1,-5,-5,-3,-1,3,5,-5,-5,-5,-3,"If I lay out 5 wooden blocks in a row on a table and ask what the length is, I think most people would reach for a ruler. If I ask what the count is, most people would look at me like I'm trying to play a trick because the answer is so bloody obvious."
338,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,5,1,1,-1,-3,-1,-3,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
339,Recently (0 to 2 years ago),Recently (0 to 2 years),Hobbyist / Personal Projects,3,5,1,-1,-3,-5,1,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
340,Recently (0 to 2 years ago),Recently (0 to 2 years),Just Reading / Just Learning,1,5,3,-5,-5,3,-5,-3,5,-3,-5,5,-3,-5,5,-3,-5,5,-3,-5,5,-5,-5,-3,-3,
341,2 to 5 years ago,Recently (0 to 2 years),Hobbyist / Personal Projects,5,3,3,-1,-3,-3,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
342,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,5,-1,3,3,-5,-3,-1,-3,5,-5,-3,-1,-5,-3,-3,1,3,5,-1,1,3,-1,1,3,-5,
343,Recently (0 to 2 years ago),Recently (0 to 2 years),Hobbyist / Personal Projects,-3,1,3,-1,-3,1,-3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
344,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,-1,3,5,-1,-3,-1,-3,-1,3,0,0,0,0,0,0,0,0,0,0,0,5,0,-5,0,0,
345,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,3,1,1,-3,1,-1,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
346,2 to 5 years ago,5 to 10 years,Hobbyist / Personal Projects,-3,5,3,-5,-5,-5,-5,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
347,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,1,5,-3,-1,3,1,3,-1,5,1,5,3,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,
348,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,1,3,3,-1,-1,-1,1,-1,5,-3,1,1,-5,-5,-5,-5,-5,1,-5,1,3,-3,-1,3,5,
349,Recently (0 to 2 years ago),2 to 5 years,Hobbyist / Personal Projects,1,-5,-3,3,5,-5,5,5,-5,1,1,-5,1,1,-5,1,1,-5,1,1,-5,1,1,-5,-5,
350,2 to 5 years ago,10 to 20 years,Professional / Industrial Software Development,5,1,-1,-5,-5,-3,5,-5,-1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,
351,Recently (0 to 2 years ago),2 to 5 years,Professional / Industrial Software Development,-3,-3,5,-3,-5,-5,3,-5,5,-3,-3,-3,-5,-5,-5,-3,-3,-3,1,5,5,-3,-5,-5,-5,elemcount() and _Elemcount should be better than all the above.
352,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,-1,3,3,1,-3,-1,3,-3,1,-3,3,3,-5,-1,-1,-3,-1,-1,-1,3,3,-5,1,1,-3,
353,2 to 5 years ago,2 to 5 years,Professional / Industrial Software Development,3,3,5,-5,-3,-3,3,-5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"I think ""non-power"" users of C (i.e., people not responding to surverys) are much less likely to care about whether it is defined as a lowercase keyword vs a macro, but would strongly dislike _Keyword only."
354,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,1,-3,5,3,5,-5,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
355,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,-3,5,3,1,-1,-5,-3,-5,5,-3,3,5,-3,-1,-1,-3,-1,-1,-3,1,1,-3,1,1,-1,"Just use a normal keyword please. The whole underscore capital thing is dumb. Yes you risk clashing with identifiers, but 99% of people will not upgrade to anything beyond C11 for the next 20 years anyways."
356,2 to 5 years ago,5 to 10 years,Software Mentor; Professor / Teacher; Trainer,5,1,-1,-1,-3,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
357,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,1,5,-1,-3,-5,-3,-1,-1,5,-3,-3,5,-3,-3,-1,-3,-3,1,-3,-3,-1,-3,-3,-3,-3,
358,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,1,5,-1,-1,-1,-1,-1,-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
359,Recently (0 to 2 years ago),5 to 10 years,Professional / Industrial Software Development,3,1,1,-3,-3,-3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,
360,Recently (0 to 2 years ago),20 to 30 years,Professional / Industrial Software Development,-1,3,5,-1,-3,1,-1,-5,1,-5,-1,1,-5,-1,1,-5,1,1,-5,3,5,-5,-1,-1,0,
361,2 to 5 years ago,Recently (0 to 2 years),Professional / Industrial Software Development,-1,3,-1,0,-3,-3,3,-1,-1,-1,3,-1,-3,-3,-3,-1,1,-1,-3,-3,-1,-3,-3,-3,-3,"I think simpler is better, but did we count roughly how many code pieces we would break by any of those simpler changes? If not, I want to go conservative."
362,Recently (0 to 2 years ago),10 to 20 years,Professional / Industrial Software Development,-5,5,5,-5,-5,0,0,0,0,5,5,5,-5,-5,-5,3,3,3,3,3,3,-5,-5,-5,-5,
